medium,source,traffic_week,impressions,clicks,cost,touched_date,demo_occurred,sales_qualified_opportunity,closed_won_opportunity
paid-search,bing,2023-06-05,62515,2544,14681.04,2023-06-05,0.0,0.0,0.0
paid-search,bing,2023-06-12,23783,3195,18257.71,2023-06-12,0.9,3.3,0.0
paid-search,bing,2023-06-19,57243,3996,23881.69,2023-06-19,0.3,0.2,0.0
paid-search,bing,2023-06-26,52959,5267,23667.38,2023-06-26,0.0,0.0,0.0
paid-search,bing,2023-07-03,48173,5662,28060.26,,,,
paid-search,bing,2023-07-10,78114,5242,23210.14,2023-07-10,0.8999999999999999,1.0,0.0
paid-search,bing,2023-07-17,619533,12289,13466.89,2023-07-17,10.399999999999999,8.1,0.0
paid-search,bing,2023-07-24,1118385,21171,34524.69,2023-07-24,8.8,4.0,2.0
paid-search,bing,2023-07-31,1515553,7528,14533.14,2023-07-31,4.699999999999999,2.8,1.9
paid-search,bing,2023-08-07,1074630,5424,8296.02,2023-08-07,3.8,2.3,0.0
paid-search,bing,2023-08-14,474601,3711,6775.68,2023-08-14,1.9,2.0,0.0
paid-search,bing,2023-08-21,1058325,26224,33277.18,2023-08-21,0.7,1.6,0.0
paid-search,bing,2023-08-28,1191115,30637,84925.61,2023-08-28,6.9,6.699999999999999,0.0
paid-search,bing,2023-09-04,1696083,17924,25488.46,2023-09-04,0.9,0.0,0.0
paid-search,bing,2023-09-11,4027765,26604,77577.71,2023-09-11,4.8,3.1,0.0
paid-search,bing,2023-09-18,2558057,37981,114572.37,2023-09-18,3.1,0.0,0.0
paid-search,bing,2023-09-25,4950814,29630,57018.88,2023-09-25,5.699999999999999,3.9000000000000004,3.7
paid-search,bing,2023-10-02,639501,33020,106768.05,2023-10-02,11.0,3.8,0.0
paid-search,bing,2023-10-09,122217,28384,101956.98,2023-10-09,2.9,0.0,0.0
paid-search,bing,2023-10-16,175073,11029,60679.66,2023-10-16,0.0,0.0,0.0
paid-search,bing,2023-10-23,160909,13712,34683.44,2023-10-23,0.0,0.0,0.0
paid-search,google,2023-06-05,2116577,77398,933222.58,2023-06-05,96.5,50.199999999999996,21.7
paid-search,google,2023-06-12,2555710,123363,894113.14,2023-06-12,73.5,84.3,5.7
paid-search,google,2023-06-19,1926396,162636,1291369.19,2023-06-19,113.1,50.6,13.0
paid-search,google,2023-06-26,3680883,215210,940751.73,2023-06-26,119.9,72.7,17.2
paid-search,google,2023-07-03,1543770,107068,567262.44,2023-07-03,99.0,50.800000000000004,14.5
paid-search,google,2023-07-10,1447571,115061,479235.95,2023-07-10,97.4,59.0,18.1
paid-search,google,2023-07-17,3795635,332349,786810.09,2023-07-17,119.0,47.5,12.3
paid-search,google,2023-07-24,3072168,416503,917552.05,2023-07-24,86.9,32.7,10.0
paid-search,google,2023-07-31,4228524,278237,1066218.85,2023-07-31,215.2,35.4,8.8
paid-search,google,2023-08-07,2902183,243043,857594.96,2023-08-07,103.0,68.0,15.6
paid-search,google,2023-08-14,2507553,278273,451402.72,2023-08-14,107.1,58.1,4.5
paid-search,google,2023-08-21,1665702,208978,690737.58,2023-08-21,94.9,57.800000000000004,6.1
paid-search,google,2023-08-28,3304795,320931,1103746.86,2023-08-28,107.2,47.2,6.9
paid-search,google,2023-09-04,2197493,241549,1068778.42,2023-09-04,77.0,47.3,11.1
paid-search,google,2023-09-11,4035481,375692,993673.26,2023-09-11,116.3,70.2,10.7
paid-search,google,2023-09-18,3605787,310677,1426653.69,2023-09-18,81.7,23.8,1.1
paid-search,google,2023-09-25,2389905,266455,1103082.07,2023-09-25,99.0,67.2,10.5
paid-search,google,2023-10-02,2653487,274120,1160816.6,2023-10-02,111.3,71.7,4.1
paid-search,google,2023-10-09,2820966,242908,1051815.65,2023-10-09,116.1,54.199999999999996,7.3
paid-search,google,2023-10-16,2843680,183506,1042308.48,2023-10-16,105.2,61.5,5.1
paid-search,google,2023-10-23,3054774,316862,993096.74,2023-10-23,79.6,27.6,2.4
paid-social,facebook,2023-06-05,33313959,88879,305997.73,2023-06-05,10.7,3.1,0.0
paid-social,facebook,2023-06-12,19535966,68769,203374.01,2023-06-12,15.9,7.6,2.5
paid-social,facebook,2023-06-19,31965507,62943,256767.26,2023-06-19,22.4,3.1,2.4
paid-social,facebook,2023-06-26,24021074,88698,163298.67,2023-06-26,3.6,0.0,0.0
paid-social,facebook,2023-07-03,17018061,37852,81851.34,2023-07-03,9.5,0.0,0.0
paid-social,facebook,2023-07-10,27129256,71539,248569.76,2023-07-10,8.5,2.2,0.0
paid-social,facebook,2023-07-17,29138830,106482,302055.77,2023-07-17,17.0,10.8,0.0
paid-social,facebook,2023-07-24,46587394,203340,439542.95,2023-07-24,10.8,6.0,1.7
paid-social,facebook,2023-07-31,63230473,182962,325852.2,2023-07-31,4.2,2.3,0.0
paid-social,facebook,2023-08-07,40341543,133646,292419.96,2023-08-07,11.2,0.9,0.0
paid-social,facebook,2023-08-14,30978281,116706,251090.39,2023-08-14,13.5,5.3,0.0
paid-social,facebook,2023-08-21,40555338,147492,267786.22,2023-08-21,14.4,5.0,0.0
paid-social,facebook,2023-08-28,29719660,126544,184999.27,2023-08-28,12.9,7.300000000000001,0.0
paid-social,facebook,2023-09-04,48280722,106794,152546.76,2023-09-04,5.5,1.3,0.0
paid-social,facebook,2023-09-11,30296004,110158,238443.63,2023-09-11,9.6,1.8,0.0
paid-social,facebook,2023-09-18,28570137,131264,291623.18,2023-09-18,0.0,0.0,0.0
paid-social,facebook,2023-09-25,55018029,140408,250532.75,2023-09-25,4.0,0.0,0.0
paid-social,facebook,2023-10-02,68992149,91608,247270.23,2023-10-02,5.2,3.0,0.0
paid-social,facebook,2023-10-09,59513904,90289,282532.5,2023-10-09,3.4,0.0,0.0
paid-social,facebook,2023-10-16,40269836,87043,171808.42,2023-10-16,6.6,1.8,0.0
paid-social,facebook,2023-10-23,38580815,96209,285320.13,2023-10-23,3.0,2.1,0.0
paid-social,linkedin,2023-06-05,7355069,32019,227989.04,2023-06-05,5.2,4.9,1.4
paid-social,linkedin,2023-06-12,7822878,23890,348966.03,2023-06-12,6.0,7.800000000000001,1.3
paid-social,linkedin,2023-06-19,10830670,44636,488155.53,2023-06-19,5.6,7.8,4.9
paid-social,linkedin,2023-06-26,10021668,34815,431253.39,2023-06-26,7.1,0.0,0.0
paid-social,linkedin,2023-07-03,7844847,43155,440780.36,2023-07-03,2.5,0.0,0.0
paid-social,linkedin,2023-07-10,12368594,40895,334689.67,2023-07-10,3.0,2.5,2.4
paid-social,linkedin,2023-07-17,7986787,38866,474855.53,2023-07-17,4.199999999999999,0.0,0.0
paid-social,linkedin,2023-07-24,8478287,42123,348978.98,2023-07-24,6.300000000000001,3.2,0.0
paid-social,linkedin,2023-07-31,9311849,40058,286954.18,2023-07-31,2.4,0.8,0.0
paid-social,linkedin,2023-08-07,10502615,34549,427183.56,2023-08-07,0.0,0.0,0.0
paid-social,linkedin,2023-08-14,4777265,41201,393534.48,2023-08-14,8.3,2.9,0.0
paid-social,linkedin,2023-08-21,4523385,38624,420529.39,2023-08-21,3.1,0.0,0.0
paid-social,linkedin,2023-08-28,6983011,19926,304997.8,2023-08-28,6.9,2.5999999999999996,0.0
paid-social,linkedin,2023-09-04,5798124,26082,226309.36,2023-09-04,1.1,10.0,9.1
paid-social,linkedin,2023-09-11,5239179,17726,263033.04,2023-09-11,0.0,0.0,0.0
paid-social,linkedin,2023-09-18,5842243,31540,264235.38,2023-09-18,0.9,0.6,0.0
paid-social,linkedin,2023-09-25,5962092,31388,249770.65,2023-09-25,3.4000000000000004,0.0,0.0
paid-social,linkedin,2023-10-02,4348074,27765,272559.09,2023-10-02,2.8,2.1,0.0
paid-social,linkedin,2023-10-09,4485024,35009,327466.25,2023-10-09,1.8,0.0,0.0
paid-social,linkedin,2023-10-16,6335386,15776,174972.2,2023-10-16,4.9,2.8,0.0
paid-social,linkedin,2023-10-23,4881796,21954,169017.58,2023-10-23,2.9000000000000004,0.0,0.0
